Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Graph,Time-Prof
llama-2-7b,4,1,32,int4,True,50,1,0.5669003327687582,7.098388671875,10.8701171875,319.5070550441742,17.38208556175232
llama-2-7b,4,1,32,int4,True,100,1,0.8185670375823975,7.098388671875,10.8720703125,319.5070550441742,18.747071981430054
llama-2-7b,4,1,32,int4,True,200,1,1.351639191309611,7.176513671875,10.9697265625,319.5070550441742,21.293386936187744
llama-2-7b,4,2,16 16,float16,False,10,1,0.3898004690806071,21.30029296875,29.16015625,82.8810064792633,30.012664794921875
llama-2-7b,4,2,16 16,float16,False,20,1,0.48333120346069336,21.30029296875,29.27734375,82.8810064792633,29.36710000038147
llama-2-7b,4,2,16 16,float16,False,50,1,0.7488537629445394,21.30029296875,29.23828125,82.8810064792633,30.175960779190063
llama-2-7b,4,2,16 16,float16,False,100,1,1.1740450064341228,21.30029296875,29.140625,82.8810064792633,33.1572265625
llama-2-7b,4,2,16 16,float16,False,200,1,2.039894421895345,21.30029296875,29.3359375,82.8810064792633,38.3565309047699
llama-2-7b,4,2,16 16,float16,True,10,1,0.39685622851053876,21.28271484375,28.986328125,147.33434867858887,29.329299688339233
llama-2-7b,4,2,16 16,float16,True,20,1,0.48631779352823895,21.32373046875,28.830078125,147.33434867858887,29.119420051574707
llama-2-7b,4,2,16 16,float16,True,50,1,0.7647733688354492,21.28271484375,28.888671875,147.33434867858887,30.443352222442627
llama-2-7b,4,2,16 16,float16,True,100,1,1.2032771110534668,21.53265380859375,28.966796875,147.33434867858887,33.11617136001587
llama-2-7b,4,2,16 16,float16,True,200,1,2.088458220163981,21.36279296875,28.849609375,147.33434867858887,39.0628776550293
llama-2-7b,4,2,16 16,int8,False,10,1,0.3645755449930827,15.26708984375,23.240234375,127.30006790161133,27.3682382106781
llama-2-7b,4,2,16 16,int8,False,20,1,0.4228815237681071,15.26708984375,23.162109375,127.30006790161133,27.863559246063232
llama-2-7b,4,2,16 16,int8,False,50,1,0.6009241739908854,15.18896484375,23.259765625,127.30006790161133,28.838870763778687
llama-2-7b,4,2,16 16,int8,False,100,1,0.8911616802215576,15.30810546875,23.181640625,127.30006790161133,30.733685731887817
llama-2-7b,4,2,16 16,int8,False,200,1,1.472960392634074,15.50732421875,23.435546875,127.30006790161133,34.12721920013428
llama-2-7b,4,2,16 16,int8,True,10,1,0.3612147967020671,15.22802734375,22.724609375,248.7668752670288,27.469232320785522
llama-2-7b,4,2,16 16,int8,True,20,1,0.42085806528727215,15.6146240234375,22.705078125,248.7668752670288,28.14717984199524
llama-2-7b,4,2,16 16,int8,True,50,1,0.597254196802775,15.38818359375,22.72265625,248.7668752670288,28.883235692977905
llama-2-7b,4,2,16 16,int8,True,100,1,0.8974518775939941,15.42919921875,22.708984375,248.7668752670288,30.730910539627075
llama-2-7b,4,2,16 16,int8,True,200,1,1.4941070079803467,15.30615234375,22.705078125,248.7668752670288,34.1554970741272
llama-2-7b,4,2,16 16,int4,False,10,1,0.35659488042195636,12.19287109375,20.166015625,161.4416058063507,27.14540934562683
llama-2-7b,4,2,16 16,int4,False,20,1,0.39684144655863446,12.23193359375,20.224609375,161.4416058063507,27.613462448120117
llama-2-7b,4,2,16 16,int4,False,50,1,0.5375926494598389,12.71826171875,20.283203125,161.4416058063507,27.832080364227295
llama-2-7b,4,2,16 16,int4,False,100,1,0.7665634155273438,12.35107421875,20.048828125,161.4416058063507,29.16877555847168
llama-2-7b,4,2,16 16,int4,False,200,1,1.2324044704437256,12.17333984375,20.068359375,161.4416058063507,31.81228542327881
llama-2-7b,4,2,16 16,int4,True,10,1,0.35263919830322266,12.17333984375,19.755859375,286.2240915298462,27.3163161277771
llama-2-7b,4,2,16 16,int4,True,20,1,0.40415334701538086,12.17333984375,19.755859375,286.2240915298462,27.679932355880737
llama-2-7b,4,2,16 16,int4,True,50,1,0.5397078990936279,12.17333984375,19.775390625,286.2240915298462,28.250166416168213
llama-2-7b,4,2,16 16,int4,True,100,1,0.7859997749328613,12.17333984375,19.716796875,286.2240915298462,29.52164363861084
llama-2-7b,4,2,16 16,int4,True,200,1,1.2546687126159668,12.17333984375,19.697265625,286.2240915298462,31.92089319229126
llama-2-7b,8,1,32,float16,False,10,1,1.2037954330444336,20.38226318359375,35.87890625,82.97172379493713,33.5537748336792
llama-2-7b,8,1,32,float16,False,20,1,1.5872697830200195,20.27685546875,35.859375,82.97172379493713,36.251275300979614
llama-2-7b,8,1,32,float16,False,50,1,1.6351784865061443,20.28265380859375,35.802734375,82.97172379493713,36.933090686798096
llama-2-7b,8,1,32,float16,False,100,1,2.2733784516652427,20.30413818359375,35.802734375,82.97172379493713,39.99507403373718
llama-2-7b,8,1,32,float16,False,200,1,3.2540181477864585,20.30413818359375,35.822265625,82.97172379493713,46.121501445770264
llama-2-7b,8,1,32,float16,True,10,1,1.2652687231699626,20.12640380859375,35.4453125,153.23142910003662,35.027631998062134
llama-2-7b,8,1,32,float16,True,20,1,1.354866584142049,20.13812255859375,35.43359375,153.23142910003662,34.70963430404663
llama-2-7b,8,1,32,float16,True,50,1,1.7632290522257488,20.13616943359375,35.4375,153.23142910003662,36.77039432525635
llama-2-7b,8,1,32,float16,True,100,1,2.338776191075643,20.14404296875,35.43359375,153.23142910003662,40.17131066322327
llama-2-7b,8,1,32,float16,True,200,1,3.1695491472880044,20.30804443359375,35.49609375,153.23142910003662,45.537179708480835
llama-2-13b,1,1,40,float16,False,10,1,0.6227498849232992,24.73358154296875,25.57147216796875,169.70409035682678,36.151421785354614
llama-2-13b,1,1,40,float16,False,20,1,1.0387421449025471,24.73358154296875,25.56951904296875,169.70409035682678,37.863653898239136
llama-2-13b,1,1,40,float16,False,50,1,2.2862486044565835,24.73358154296875,25.57147216796875,169.70409035682678,41.63237118721008
